sous_domaine,ip,statut,code_http,code_https,serveur
ai-api.tesla.com                                  ,N/A            ,INACTIF        ,000,000,N/A                 
ai-api-stg.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
acme-sentry-4a.eng.use1.vn.cloud.tesla.com        ,N/A            ,INACTIF        ,000,000,N/A                 
acme-sentry-4.eng.use1.vn.cloud.tesla.com         ,N/A            ,INACTIF        ,000,000,N/A                 
api-account-master.tesla.com                      ,N/A            ,INACTIF        ,000,000,N/A                 
akamai-apigateway-vehicleextinfogw-prdsvc-st.tesla.com,akamai-apigateway-vehicleextinfogw-prdsvc-st.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,000,AkamaiGHost         
acs2-poc.voice.tesla.com                          ,N/A            ,INACTIF        ,000,000,N/A                 
autobidder-eng.powerhub.energy.tesla.com          ,N/A            ,INACTIF        ,000,000,N/A                 
apf-api.prd.vn.cloud.tesla.com                    ,d2p1ot6coc1j95.cloudfront.net.,ACTIF          ,200,200,CloudFront          
appplayer.tesla.com                               ,N/A            ,INACTIF        ,000,000,N/A                 
awsbtest.tesla.com                                ,N/A            ,INACTIF        ,000,000,N/A                 
apf-api.eng.vn.cloud.tesla.com                    ,d2fy29hrw9wp94.cloudfront.net.,ACTIF          ,200,200,CloudFront          
bctpay.tesla.com                                  ,N/A            ,INACTIF        ,000,000,N/A                 
apac-cppm.tesla.com                               ,apac-cppm.tesla.com.akadns.net.,INACTIF        ,000,000,N/A                 
apacvpn2.tesla.com                                ,124.158.21.195 ,INACTIF        ,000,000,N/A                 
apacvpn1.tesla.com                                ,8.244.131.215  ,INACTIF        ,000,000,N/A                 
apacvpn.tesla.com                                 ,8.244.67.215   ,INACTIF        ,000,000,N/A                 
chat-staging.bottlerocket.tesla.com               ,N/A            ,INACTIF        ,000,000,N/A                 
citiapiencpocV2.tesla.com                         ,N/A            ,INACTIF        ,000,000,N/A                 
citiapiencpoc.tesla.com                           ,N/A            ,INACTIF        ,000,000,N/A                 
ciscoguest.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
autobidder-preprd.powerhub.energy.tesla.com       ,energy.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,403,AkamaiGHost         
api.kronos.tesla.com                              ,kronos-api-nlb-9096be9c0c5be87b.elb.us-west-2.amazonaws.com.,INACTIF        ,000,000,N/A                 
CitiApiEncProdv4.tesla.com                        ,N/A            ,INACTIF        ,000,000,N/A                 
autobidder.powerhub.energy.tesla.com              ,energy.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,000,AkamaiGHost         
CitiApiEncProdv5.tesla.com                        ,N/A            ,INACTIF        ,000,000,N/A                 
citiapisslpocV2.tesla.com                         ,N/A            ,INACTIF        ,000,000,N/A                 
CitiApiEncSandboxv4.tesla.com                     ,N/A            ,INACTIF        ,000,000,N/A                 
citiapisslpoc.tesla.com                           ,N/A            ,INACTIF        ,000,000,N/A                 
bettertime-stage.tesla.com                        ,bettertime-stage.tesla.com.edgekey.net.,ERREUR_CLIENT  ,000,403,AkamaiGHost         
billing.tesla.com                                 ,billing.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,000,AkamaiGHost         
CitiApiSslSandboxv4.tesla.com                     ,N/A            ,INACTIF        ,000,000,N/A                 
cradlepointtest01.tesla.com                       ,N/A            ,INACTIF        ,000,000,N/A                 
bettertime.tesla.com                              ,bettertime.tesla.com.edgekey.net.,ERREUR_CLIENT  ,403,000,AkamaiGHost         
consul.bottlerocket.tesla.com                     ,N/A            ,INACTIF        ,000,000,N/A                 
cryptopay2.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
CitiApiSslProdv5.tesla.com                        ,N/A            ,INACTIF        ,000,000,N/A                 
CitiBankStatementSHA512.tesla.com                 ,N/A            ,INACTIF        ,000,000,N/A                 
cryptopay4.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
cryptopay.tesla.com                               ,N/A            ,INACTIF        ,000,000,N/A                 
cryptopay3.tesla.com                              ,N/A            ,INACTIF        ,000,000,N/A                 
cssp-dev-teleport-proxy.tesla.com                 ,N/A            ,INACTIF        ,000,000,N/A                 
CitiApiSslProdv4.tesla.com                        ,N/A            ,INACTIF        ,000,000,N/A                 
cxadmin-apac.tesla.com                            ,N/A            ,INACTIF        ,000,000,N/A                 
cxengine-apac-stg.tesla.com                       ,N/A            ,INACTIF        ,000,000,N/A                 
cxengine-apac.tesla.com                           ,N/A            ,INACTIF        ,000,000,N/A                 
dev.kronosdb.tesla.com                            ,N/A            ,INACTIF        ,000,000,N/A                 
dex.ops.na.vn.cloud.tesla.com                     ,npudex-ops-a-5461720c4ea57de3.elb.us-west-2.amazonaws.com.,INACTIF        ,000,000,N/A                 
dex.ops.vs-bnc.na.vn.cloud.tesla.com              ,N/A            ,INACTIF        ,000,000,N/A                 
dhc.tesla.com                                     ,N/A            ,INACTIF        ,000,000,N/A                 
cx-apac-stg.tesla.com                             ,N/A            ,INACTIF        ,000,000,N/A                 
cx-apac.tesla.com                                 ,cx-apac.tesla.com.edgekey.net.,ERREUR_CLIENT  ,000,403,AkamaiGHost         
dgf.tesla.com                                     ,N/A            ,INACTIF        ,000,000,N/A                 
click.emails.tesla.com                            ,13.111.48.179  ,INACTIF        ,000,000,N/A                 
cnvpn1.tesla.com                                  ,114.141.176.215,INACTIF        ,000,000,N/A                 
cnvpn.tesla.com                                   ,103.222.41.215 ,INACTIF        ,000,000,N/A                 
cyberbeer.tesla.com                               ,cyberbeer.tesla.com.edgekey.net.,INACTIF        ,000,000,AkamaiGHost         
digitalassets-stage.tesla.com                     ,N/A            ,INACTIF        ,000,000,N/A                 
diner-api-stage.tesla.com                         ,N/A            ,INACTIF        ,000,000,N/A                 
diner-api.tesla.com                               ,N/A            ,INACTIF        ,000,000,N/A                 
digitalassets-accounts.tesla.com                  ,digitalassets-accounts.tesla.com.multicdn.cloudinary.com.,ACTIF          ,200,200,Cloudinary          
dal11-gpgw1.tesla.com                             ,199.120.56.30  ,ERREUR_CLIENT  ,000,404,N/A                 
dex.ops.bn.na.vn.cloud.tesla.com                  ,npudex.ops.bn-usw2.vn.cloud.tesla.com.,INACTIF        ,000,000,N/A                 
digitalassets-contents.tesla.com                  ,digitalassets-contents.tesla.com.multicdn.cloudinary.com.,ACTIF          ,200,000,Cloudinary          
digitalassets-secure.tesla.com                    ,digitalassets-secure.tesla.com.multicdn.cloudinary.com.,ACTIF          ,200,200,Cloudinary          
discovery.bottlerocket.tesla.com                  ,N/A            ,INACTIF        ,000,000,N/A                 
doraemon-svc-apac-stg.tesla.com                   ,N/A            ,INACTIF        ,000,000,N/A                 
discovery-service.bottlerocket.tesla.com          ,N/A            ,INACTIF        ,000,000,N/A                 
doraemon-svc-apac.tesla.com                       ,N/A            ,INACTIF        ,000,000,N/A                 
digitalassets-learning.tesla.com                  ,digitalassets-learning.tesla.com.multicdn.cloudinary.com.,ERREUR_CLIENT  ,404,000,Cloudinary          
digitalassets-shop.tesla.com                      ,digitalassets-shop.tesla.com.multicdn.cloudinary.com.,ACTIF          ,200,200,Cloudinary          
e382p434p572c.tesla.com                           ,N/A            ,INACTIF        ,000,000,N/A                 
digitalassets-energy.tesla.com                    ,digitalassets-energy.tesla.com.multicdn.cloudinary.com.,REDIRECTION    ,000,301,Cloudinary          
employee-teslatequila.tesla.com                   ,N/A            ,INACTIF        ,000,000,N/A                 
digitalassets.tesla.com                           ,digitalassets.tesla.com.multicdn.cloudinary.com.,ACTIF          ,301,200,Cloudinary          
energy.tesla.com                                  ,N/A            ,INACTIF        ,000,000,N/A                 
embed-staging.bottlerocket.tesla.com              ,N/A            ,INACTIF        ,000,000,N/A                 
energysupport.tesla.com                           ,N/A            ,INACTIF        ,000,000,N/A                 
