subdomain,ip,status,http_code,https_code,server
tripx.eng.usw2.vn.cloud.tesla.com       ,npuca-eng.usw.vn.cloud.tesla.com.,ALIVE      ,000   ,200   ,N/A         
tripx-alpha.prd.vn.cloud.tesla.com      ,npuca-eng.usw.vn.cloud.tesla.com.,ALIVE      ,000   ,200   ,N/A         
vpn1.tesla.com                          ,N/A         ,DEAD       ,000   ,000   ,N/A         
vehicle-files.eng.usw2.vn.cloud.tesla.com,vehicle-files.eng.usw2.vn.cloud.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,403   ,AkamaiGHost 
vpn3.tesla.com                          ,N/A         ,DEAD       ,000   ,000   ,N/A         
vrp-stg.tesla.com                       ,N/A         ,DEAD       ,000   ,000   ,N/A         
vehicle-files.prd.usw2.vn.cloud.tesla.com,vehicle-files.prd.usw2.vn.cloud.tesla.com.edgekey.net.,CLIENT_ERR ,403   ,000   ,AkamaiGHost 
vpn.tesla.com                           ,N/A         ,DEAD       ,000   ,000   ,N/A         
vehicle-files.prd.euw1.vn.cloud.tesla.com,vehicle-files.prd.euw1.vn.cloud.tesla.com.edgekey.net.,DEAD       ,000   ,403   ,AkamaiGHost 
vehicle-files.eng.euw1.vn.cloud.tesla.com,vehicle-files.eng.euw1.vn.cloud.tesla.com.edgekey.net.,DEAD       ,000   ,403   ,N/A         
tripx.prd.vn.cloud.tesla.com            ,npuca-prd.usw2.vn.cloud.tesla.com.,ALIVE      ,000   ,200   ,N/A         
tripx.prd.usw2.vn.cloud.tesla.com       ,npuca-prd.usw2.vn.cloud.tesla.com.,ALIVE      ,000   ,200   ,N/A         
view.emails.tesla.com                   ,13.111.49.179,DEAD       ,000   ,000   ,N/A         
vpn2.tesla.com                          ,8.47.24.215 ,DEAD       ,000   ,000   ,N/A         
